,书名,作者,评分,a,评价人数,b,简介
0,"追风筝的人
","['[美] 卡勒德·胡赛尼 ', ' 李继宏 ', ' 上海人民出版社 ', ' 2006-5 ', ' 29.00元\n']","8.9
","数：(
","                 353596人评价
","             )
","为你，千千万万遍
"
1,"解忧杂货店
","['[日] 东野圭吾 ', ' 李盈春 ', ' 南海出版公司 ', ' 2014-5 ', ' 39.50元\n']","8.6
","数：(
","                 328746人评价
","             )
","一碗精心熬制的东野牌鸡汤，拒绝很难
"
2,"小王子
","['[法] 圣埃克苏佩里 ', ' 马振聘 ', ' 人民文学出版社 ', ' 2003-8 ', ' 22.00元\n']","9.0
","数：(
","                 274607人评价
","             )
","献给长成了大人的孩子们
"
3,"白夜行
","['[日] 东野圭吾 ', ' 刘姿君 ', ' 南海出版公司 ', ' 2008-9 ', ' 29.80元\n']","9.1
","数：(
","                 241257人评价
","             )
","暗夜独行的残破灵魂，爱与恶本就难分难舍
"
4,"围城
","['钱锺书 ', ' 人民文学出版社 ', ' 1991-2 ', ' 19.00\n']","8.9
","数：(
","                 216746人评价
","             )
","对于“人艰不拆”四个字最彻底的违抗
"
5,"三体
","['刘慈欣 ', ' 重庆出版社 ', ' 2008-1 ', ' 23.00\n']","8.8
","数：(
","                 195462人评价
","             )
","你我不过都是虫子
"
6,"嫌疑人X的献身
","['[日] 东野圭吾 ', ' 刘子倩 ', ' 南海出版公司 ', ' 2008-9 ', ' 28.00\n']","8.9
","数：(
","                 190080人评价
","             )
","数学好是一种极致的浪漫
"
7,"挪威的森林
","['[日] 村上春树 ', ' 林少华 ', ' 上海译文出版社 ', ' 2001-2 ', ' 18.80元\n']","8.0
","数：(
","                 208764人评价
","             )
","村上之发轫，多少人的青春启蒙
"
8,"活着
","['余华 ', ' 南海出版公司 ', ' 1998-5 ', ' 12.00元\n']","9.1
","数：(
","                 172749人评价
","             )
","活着本身就是人生最大的意义
"
9,"百年孤独
","['[哥伦比亚] 加西亚·马尔克斯 ', ' 范晔 ', ' 南海出版公司 ', ' 2011-6 ', ' 39.50元\n']","9.2
","数：(
","                 151070人评价
","             )
","尼采所谓的永劫复归，一场无始无终的梦魇
"
